lexical_density,log_type_token_ratio,root_type_token_ratio,type_token_ratio,summer_index
100.0,1.0,1.414213562373095,1.0,1.0
66.66666666666666,1.0,1.7320508075688774,1.0,1.0
100.0,1.0,2.0,1.0,1.0
100.0,1.0,1.414213562373095,1.0,1.0
50.0,1.0,2.4494897427831783,1.0,1.0
80.0,1.0,2.23606797749979,1.0,1.0
100.0,0.0,1.0,1.0,0.0
33.33333333333333,1.0,1.7320508075688774,1.0,1.0
50.0,1.0,2.0,1.0,1.0
100.0,1.0,1.414213562373095,1.0,1.0
66.66666666666666,1.0,1.7320508075688774,1.0,1.0
100.0,0.0,1.0,1.0,0.0
66.66666666666666,1.0,1.7320508075688774,1.0,1.0
66.66666666666666,1.0,1.7320508075688774,1.0,1.0
100.0,0.0,1.0,1.0,0.0
50.0,1.0,1.414213562373095,1.0,1.0
33.33333333333333,1.0,2.4494897427831783,1.0,1.0
33.33333333333333,1.0,1.7320508075688774,1.0,1.0
100.0,0.0,1.0,1.0,0.0
100.0,1.0,1.7320508075688774,1.0,1.0
100.0,0.0,1.0,1.0,0.0
100.0,0.0,1.0,1.0,0.0
100.0,0.0,1.0,1.0,0.0
100.0,1.0,1.7320508075688774,1.0,1.0
100.0,1.0,1.414213562373095,1.0,1.0
60.0,1.0,3.162277660168379,1.0,1.0
80.0,1.0,2.23606797749979,1.0,1.0
100.0,0.0,1.0,1.0,0.0
66.66666666666666,1.0,1.7320508075688774,1.0,1.0
80.0,1.0,2.23606797749979,1.0,1.0
50.0,1.0,1.414213562373095,1.0,1.0
50.0,1.0,1.414213562373095,1.0,1.0
56.52173913043478,1.0,4.79583152331272,1.0,1.0
100.0,0.0,1.0,1.0,0.0
66.66666666666666,1.0,1.7320508075688774,1.0,1.0
50.0,1.0,2.82842712474619,1.0,1.0
50.0,0.9518387305144009,3.5,0.875,0.9515978058643527
66.66666666666666,1.0,3.0,1.0,1.0
44.44444444444444,1.0,3.0,1.0,1.0
50.0,1.0,2.82842712474619,1.0,1.0
66.66666666666666,1.0,2.4494897427831783,1.0,1.0
62.5,1.0,2.82842712474619,1.0,1.0
100.0,0.0,1.0,1.0,0.0
100.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0
100.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0
100.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0
100.0,0.0,1.0,1.0,0.0
100.0,0.0,1.0,1.0,0.0
50.0,1.0,1.414213562373095,1.0,1.0
66.66666666666666,1.0,1.7320508075688774,1.0,1.0
60.0,1.0,2.23606797749979,1.0,1.0
100.0,0.0,1.0,1.0,0.0
100.0,0.0,1.0,1.0,0.0
100.0,0.0,1.0,1.0,0.0
100.0,0.0,1.0,1.0,0.0
100.0,0.0,1.0,1.0,0.0
57.14285714285714,1.0,2.6457513110645903,1.0,1.0
70.0,1.0,3.162277660168379,1.0,1.0
66.66666666666666,1.0,1.7320508075688774,1.0,1.0
60.0,1.0,2.23606797749979,1.0,1.0
100.0,1.0,2.0,1.0,1.0
60.0,1.0,2.23606797749979,1.0,1.0
66.66666666666666,1.0,1.7320508075688774,1.0,1.0
100.0,0.0,1.0,1.0,0.0
100.0,1.0,1.414213562373095,1.0,1.0
50.0,1.0,1.414213562373095,1.0,1.0
100.0,1.0,1.414213562373095,1.0,1.0
66.66666666666666,1.0,1.7320508075688774,1.0,1.0
50.0,1.0,2.0,1.0,1.0
75.0,1.0,2.0,1.0,1.0
50.0,1.0,2.0,1.0,1.0
66.66666666666666,1.0,1.7320508075688774,1.0,1.0
60.0,1.0,2.23606797749979,1.0,1.0
50.0,1.0,2.0,1.0,1.0
66.66666666666666,1.0,1.7320508075688774,1.0,1.0
40.0,1.0,2.23606797749979,1.0,1.0
100.0,1.0,1.7320508075688774,1.0,1.0
50.0,1.0,2.4494897427831783,1.0,1.0
66.66666666666666,1.0,1.7320508075688774,1.0,1.0
66.66666666666666,1.0,1.7320508075688774,1.0,1.0
33.33333333333333,1.0,1.7320508075688774,1.0,1.0
66.66666666666666,1.0,1.7320508075688774,1.0,1.0
33.33333333333333,1.0,2.4494897427831783,1.0,1.0
100.0,0.0,1.0,1.0,0.0
75.0,1.0,2.0,1.0,1.0
100.0,1.0,2.0,1.0,1.0
100.0,1.0,2.0,1.0,1.0
66.66666666666666,1.0,2.4494897427831783,1.0,1.0
100.0,1.0,1.414213562373095,1.0,1.0
100.0,1.0,2.0,1.0,1.0
66.66666666666666,1.0,1.7320508075688774,1.0,1.0
0.0,0.0,1.0,1.0,0.0
