chat_id,user_id,message_date,first_name,second_name,nickname,lang,question,answer,
1,1,16.03.2021,Н,К,1,ru,Привет!,Доброго времени суток! Отправьте мне вопрос в окне чата и я дам вам информацию о новой коронавирусной инфекции.,
1,1,16.03.2021 20:18,Н,К,1,ru,Какие основные симптомы у вируса?,"К наиболее распространенным симптомам COVID-19 относятся: Повышенная температура, лихорадка,   утомляемость, сухой кашель,  затрудненное дыхание. К другим, менее распространенным симптомам, которые встречаются у ряда пациентов, относятся: Утрата обоняния или вкусовых ощущений, боль в мышцах или суставах, заложенность носа, головная боль.",
1,1,16.03.2021 20:20,Н,К,1,ru,Можно ли переболеть и не понять что болел?,"Теоретически человек может заболеть COVID-19 второй раз, но сейчас эту идею разделяют далеко не все.",
1,1,16.03.2021 20:22,Н,К,1,ru,"Куда обращаться если вызвал врача, а он не приезжает?","Если есть подозрения на COVID-19, необходимо позвонить  в районную поликлинику или на  единую горячую линию COVID-19 по номеру: 8-800-2000-112 и соблюдать самоизоляцию.",
1,1,16.03.2021 20:23,Н,К,1,ru,Какой срок выздоровления?,"Основная фаза COVID-19 в легкой форме протекает около семи дней. К концу второй недели пациенты полностью выздоравливают. Болезнь средней тяжести протекает четыре недели. При тяжелой форме заболевание длится от 30 до 40 дней, но иногда выздоровление может затянуться до 2 месяцев.",
1,1,16.03.2021 20:24,Н,К,1,ru,Как болезнь в последствии может повлиять на организм?,В некоторых случаях вирус проходит бессимптомно.,
1,1,16.03.2021 20:25,Н,К,1,ru,Вопрос не об этом,Можешь сказать то же самое другими словами?,
1,1,16.03.2021 20:28,Н,К,1,ru,Какие побочные эффекты болезнь может оказать на организм?,"У некоторых пациентов с перенесенной COVID-19 независимо от того, потребовалась ли им госпитализация или нет, сохраняются различные симптомы болезни, в том числе утомляемость, респираторные и неврологические нарушения",
1,1,16.03.2021 20:30,Н,К,1,ru,"Во, отлично. Что лучше использовать для профилактики заболевания?","Самое важное, что можно сделать, чтобы защитить себя, — это соблюдать правила личной гигиены и сократить посещения общественных и людных мест. Держите руки в чистоте, часто мойте их водой с мылом или используйте дезинфицирующее средство. Старайтесь не касаться рта, носа или глаз немытыми руками (обычно такие прикосновения неосознанно свершаются нами в среднем 15 раз в час). На работе регулярно очищайте поверхности и устройства, к которым вы прикасаетесь (клавиатура компьютера, панели оргтехники общего использования, экран смартфона, пульты, дверные ручки и поручни). Носите с собой одноразовые салфетки и всегда прикрывайте нос и рот, когда вы кашляете или чихаете. Не ешьте еду (орешки, чипсы, печенье и другие снеки) из общих упаковок или посуды, если другие люди погружали в них свои пальцы. Часто проветривайте помещения. Если вы обнаружили симптомы, схожие с теми, которые вызывает коронавирус, оставайтесь дома и вызывайте врача.",
1,1,16.03.2021 20:33,Н,К,1,ru,В качестве антисептика подойдёт любой спирт?,Санитайзер помогает.,
1,1,16.03.2021 20:34,Н,К,1,ru,"А если я хочу поехать отдыхать, как узнать можно ли опасть в эту страну?",Данная информация постоянно обновляется. Можно ознакомиться тут: https://samokatus.ru/karta-otrkytyh-granits/,
1,1,16.03.2021 20:35,Н,К,1,ru,А что насчёт прививок?,Прививки ставят бесплатно по полису обязательного медстрахования. Вакцину вводят в два этапа с интервалом в три недели. Записаться на вакцинацию можно в вашей поликлинике или на сайте «Госуслуги»,
1,1,16.03.2021 20:37,Н,К,1,ru,Это безопасно?,"В вакцине содержится часть вируса - антиген, он не способен вызвать болезнь, но может активировать иммунитет.",
1,1,16.03.2021 20:43,Н,К,1,ru,Привиться можно только российской вакциной?,"Эксперты ВОЗ говорили, что будут считать успешной любую вакцину, эффективность которой превысит 70%. Американские власти сообщали о готовности закупать препараты, дающие хотя бы 50-процентую защиту от вируса (примерно такую эффективность имеет вакцина от гриппа). В Европейском медицинском агентстве намекали, что готовы рассмотреть даже менее эффективные препараты.",
1,1,16.03.2021 20:45,Н,К,1,ru,Надо ли носить маску после прививки?,"Использование одноразовой медицинской маски снижает риск заболевания вирусными инфекциями, которые передаются воздушно-капельным путем (при кашле, чихании). Для больных ОРВИ ношение маски обязательно, маску несколько раз в день нужно менять.",
1,1,16.03.2021 20:46,Н,К,1,ru,"Существуют разные виды коронавируса, какой наиболее опасный?","Самое важное, что можно сделать, чтобы защитить себя, — это соблюдать правила личной гигиены и сократить посещения общественных и людных мест. Держите руки в чистоте, часто мойте их водой с мылом или используйте дезинфицирующее средство. Старайтесь не касаться рта, носа или глаз немытыми руками (обычно такие прикосновения неосознанно свершаются нами в среднем 15 раз в час). На работе регулярно очищайте поверхности и устройства, к которым вы прикасаетесь (клавиатура компьютера, панели оргтехники общего использования, экран смартфона, пульты, дверные ручки и поручни). Носите с собой одноразовые салфетки и всегда прикрывайте нос и рот, когда вы кашляете или чихаете. Не ешьте еду (орешки, чипсы, печенье и другие снеки) из общих упаковок или посуды, если другие люди погружали в них свои пальцы. Часто проветривайте помещения. Если вы обнаружили симптомы, схожие с теми, которые вызывает коронавирус, оставайтесь дома и вызывайте врача.",
2,2,17.03.2021 20:55,В,В,2,ru,Привет,Приветствую! Отправьте мне вопрос в окне чата и я дам вам информацию о новой коронавирусной инфекции.,
2,2,17.03.2021 20:55,В,В,2,ru,Сколько людей заболело в мире?,С этой информацией можно ознакомиться перейдя по ссылке: https://www.arcgis.com/apps/opsdashboard/index.html#/85320e2ea5424dfaaa75ae62e5c06e61,
2,2,17.03.2021 20:57,В,В,2,ru,В какой стране больше всего заболевших,С этой информацией можно ознакомиться перейдя по ссылке: https://www.arcgis.com/apps/opsdashboard/index.html#/85320e2ea5424dfaaa75ae62e5c06e61,
