avg_words_per_sentence,avg_sentence_len,avg_word_len,avg_syllable_per_word
2.0,14.0,7.0,3.0
3.0,19.0,6.333333333333333,2.3333333333333335
4.0,32.0,8.0,3.25
2.0,15.0,7.5,2.5
6.0,27.0,4.5,1.5
5.0,35.0,7.0,2.4
1.0,10.0,10.0,4.0
3.0,15.0,5.0,2.3333333333333335
4.0,18.0,4.5,2.0
2.0,13.0,6.5,2.5
3.0,16.0,5.333333333333333,2.3333333333333335
1.0,5.0,5.0,2.0
3.0,19.0,6.333333333333333,2.3333333333333335
3.0,24.0,8.0,3.0
1.0,7.0,7.0,4.0
2.0,7.0,3.5,1.0
6.0,23.0,3.8333333333333335,1.5
3.0,9.0,3.0,1.3333333333333333
1.0,7.0,7.0,2.0
3.0,18.0,6.0,2.3333333333333335
1.0,9.0,9.0,4.0
1.0,7.0,7.0,3.0
1.0,5.0,5.0,2.0
3.0,16.0,5.333333333333333,2.0
2.0,17.0,8.5,3.0
10.0,61.0,6.1,2.5
5.0,32.0,6.4,2.8
1.0,10.0,10.0,4.0
3.0,21.0,7.0,2.6666666666666665
5.0,32.0,6.4,2.2
2.0,8.0,4.0,1.5
2.0,8.0,4.0,1.5
3.2857142857142856,20.142857142857142,6.130434782608695,2.0
1.0,3.0,3.0,1.0
3.0,18.0,6.0,2.3333333333333335
8.0,37.0,4.625,1.625
16.0,83.0,5.1875,2.1875
4.5,23.0,5.111111111111111,2.2222222222222223
9.0,45.0,5.0,1.7777777777777777
8.0,39.0,4.875,1.875
6.0,34.0,5.666666666666667,2.3333333333333335
8.0,46.0,5.75,2.125
1.0,8.0,8.0,2.0
1.0,5.0,5.0,2.0
1.0,5.0,5.0,2.0
1.0,5.0,5.0,2.0
1.0,5.0,5.0,2.0
1.0,5.0,5.0,2.0
1.0,5.0,5.0,2.0
1.0,3.0,3.0,1.0
1.0,5.0,5.0,2.0
2.0,9.0,4.5,1.5
3.0,12.0,4.0,1.6666666666666667
5.0,21.0,4.2,1.4
1.0,14.0,14.0,6.0
1.0,7.0,7.0,2.0
1.0,5.0,5.0,1.0
1.0,3.0,3.0,1.0
1.0,6.0,6.0,2.0
7.0,44.0,6.285714285714286,2.2857142857142856
10.0,64.0,6.4,2.3
3.0,15.0,5.0,1.6666666666666667
5.0,30.0,6.0,2.6
4.0,24.0,6.0,2.25
5.0,30.0,6.0,2.6
3.0,18.0,6.0,2.3333333333333335
1.0,5.0,5.0,2.0
2.0,13.0,6.5,2.5
2.0,10.0,5.0,2.0
2.0,18.0,9.0,3.0
3.0,17.0,5.666666666666667,2.3333333333333335
4.0,23.0,5.75,2.25
4.0,23.0,5.75,2.0
4.0,22.0,5.5,2.0
3.0,10.0,3.3333333333333335,1.6666666666666667
5.0,24.0,4.8,2.0
4.0,24.0,6.0,2.25
3.0,29.0,9.666666666666666,4.0
5.0,22.0,4.4,1.6
3.0,15.0,5.0,1.6666666666666667
6.0,28.0,4.666666666666667,1.8333333333333333
3.0,21.0,7.0,2.6666666666666665
3.0,25.0,8.333333333333334,3.0
3.0,16.0,5.333333333333333,2.0
3.0,16.0,5.333333333333333,1.6666666666666667
6.0,31.0,5.166666666666667,1.8333333333333333
1.0,11.0,11.0,4.0
4.0,27.0,6.75,3.25
4.0,31.0,7.75,2.75
4.0,29.0,7.25,2.5
6.0,24.0,4.0,1.5
2.0,14.0,7.0,2.0
4.0,26.0,6.5,2.25
3.0,22.0,7.333333333333333,2.6666666666666665
1.0,3.0,3.0,1.0
1.0,7.0,7.0,1.0
1.0,8.0,8.0,2.0
4.0,15.0,3.75,1.0
3.0,24.0,8.0,2.6666666666666665
3.0,22.0,7.333333333333333,2.3333333333333335
4.0,20.0,5.0,1.75
8.0,33.0,4.125,1.875
4.0,19.0,4.75,1.75
1.0,7.0,7.0,2.0
5.0,33.0,6.6,2.4
4.0,23.0,5.75,2.5
5.0,37.0,7.4,2.8
2.0,17.0,8.5,3.0
7.0,36.0,5.142857142857143,2.0
5.0,32.0,6.4,2.6
4.0,18.0,4.5,2.0
3.0,18.0,6.0,2.6666666666666665
3.0,18.0,6.0,1.6666666666666667
1.0,7.0,7.0,2.0
3.0,18.0,6.0,2.0
7.0,29.0,4.142857142857143,1.5714285714285714
5.0,26.0,5.2,1.8
4.0,18.0,4.5,1.5
3.0,18.0,6.0,1.6666666666666667
6.0,33.0,5.5,2.0
4.0,24.0,6.0,2.25
6.0,38.0,6.333333333333333,2.3333333333333335
7.0,32.0,4.571428571428571,1.8571428571428572
3.0,16.0,5.333333333333333,2.3333333333333335
4.0,25.0,6.25,2.25
2.0,13.0,6.5,2.0
5.0,29.0,5.8,1.8
4.0,23.0,5.75,1.75
5.0,25.0,5.0,2.4
2.0,14.0,7.0,3.0
3.0,18.0,6.0,2.3333333333333335
3.0,22.0,7.333333333333333,3.0
3.0,19.0,6.333333333333333,2.0
6.0,34.0,5.666666666666667,2.1666666666666665
1.0,8.0,8.0,3.0
1.0,8.0,8.0,3.0
2.0,13.0,6.5,2.5
2.0,8.0,4.0,1.5
1.0,6.0,6.0,2.0
1.0,5.0,5.0,2.0
3.0,19.0,6.333333333333333,2.6666666666666665
4.0,29.0,7.25,2.75
1.0,10.0,10.0,4.0
1.0,6.0,6.0,2.0
3.0,12.0,4.0,1.3333333333333333
4.0,17.0,4.25,1.75
5.0,29.0,5.8,2.2
5.0,32.0,6.4,2.6
3.0,15.0,5.0,1.6666666666666667
2.0,13.0,6.5,2.5
3.0,12.0,4.0,1.6666666666666667
5.0,21.0,4.2,1.4
3.0,16.0,5.333333333333333,1.6666666666666667
4.0,15.0,3.75,1.25
3.0,20.0,6.666666666666667,2.6666666666666665
5.0,31.0,6.2,2.2
3.0,16.0,5.333333333333333,1.6666666666666667
5.0,20.0,4.0,1.2
4.0,27.0,6.75,2.0
4.0,27.0,6.75,2.0
4.0,27.0,6.75,2.0
4.0,27.0,6.75,2.0
4.0,27.0,6.75,2.0
2.0,10.0,5.0,2.0
2.0,10.0,5.0,2.0
2.0,10.0,5.0,2.0
2.0,10.0,5.0,2.0
3.0,13.0,4.333333333333333,1.6666666666666667
3.0,14.0,4.666666666666667,1.6666666666666667
3.0,14.0,4.666666666666667,1.6666666666666667
3.0,14.0,4.666666666666667,1.6666666666666667
2.0,7.0,3.5,1.5
2.0,7.0,3.5,1.5
3.0,14.0,4.666666666666667,1.6666666666666667
2.0,5.0,2.5,1.0
4.0,23.0,5.75,2.25
4.0,23.0,5.75,2.25
2.0,7.0,3.5,1.5
3.0,13.0,4.333333333333333,1.6666666666666667
2.0,8.0,4.0,1.5
2.0,7.0,3.5,1.5
1.0,3.0,3.0,1.0
2.0,7.0,3.5,1.5
2.0,5.0,2.5,1.0
1.0,6.0,6.0,2.0
1.0,9.0,9.0,3.0
4.0,32.0,8.0,3.25
2.0,20.0,10.0,4.5
1.0,6.0,6.0,2.0
